id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
0,CH Gayle,2007-2022,356,11448,36.92,143.92,866,839,2007,2022,16,Power Hitter
1,V Kohli,2007-2025,323,10622,41.17,133.09,953,344,2007,2025,19,Power Hitter
2,KA Pollard,2009-2025,512,10148,30.11,150.02,646,681,2009,2025,17,Power Hitter
3,DA Warner,2009-2025,296,9778,37.6,139.16,998,342,2009,2025,17,Balanced Player
4,RG Sharma,2007-2025,352,9296,30.88,132.61,848,396,2007,2025,19,Balanced Player
5,F du Plessis,2012-2025,293,8921,34.71,140.15,816,358,2012,2025,14,Balanced Player
6,S Dhawan,2007-2024,277,8289,33.83,125.17,939,192,2007,2024,18,Balanced Player
7,SR Watson,2007-2020,297,7623,29.2,137.07,688,403,2007,2020,14,Balanced Player
8,SK Raina,2008-2021,288,7605,32.08,137.52,687,285,2008,2021,14,Balanced Player
9,Shoaib Malik,2007-2025,316,7339,32.61,124.38,531,239,2007,2025,19,Balanced Player
10,GJ Maxwell,2010-2025,320,7234,28.59,155.3,591,386,2010,2025,16,Balanced Player
11,RV Uthappa,2007-2022,284,7101,28.06,133.17,701,264,2007,2022,16,Balanced Player
12,KD Karthik,2007-2025,365,6966,26.79,136.13,672,235,2007,2025,19,Balanced Player
13,AD Russell,2012-2025,415,6908,26.87,167.95,486,554,2012,2025,14,Power Hitter
14,AB de Villiers,2007-2021,244,6892,39.15,150.54,544,327,2007,2021,15,Balanced Player
15,AM Rahane,2007-2025,266,6860,30.35,125.41,694,174,2007,2025,19,Balanced Player
16,JC Buttler,2009-2025,216,6831,37.74,144.17,650,291,2009,2025,17,Balanced Player
17,N Pooran,2013-2025,294,6799,29.68,151.89,458,467,2013,2025,13,Balanced Player
18,SV Samson,2011-2025,260,6730,30.45,135.35,560,300,2011,2025,15,Balanced Player
19,CA Lynn,2011-2025,227,6579,32.89,144.49,571,357,2011,2025,15,Balanced Player
20,MS Dhoni,2007-2025,340,6567,37.74,137.21,451,315,2007,2025,19,Balanced Player
21,MK Pandey,2007-2025,278,6525,31.07,123.69,547,210,2007,2025,19,Balanced Player
22,SA Yadav,2010-2025,258,6466,34.76,148.84,664,254,2010,2025,16,Balanced Player
23,Q de Kock,2012-2025,233,6265,29.69,134.58,611,266,2012,2025,14,Balanced Player
24,BB McCullum,2007-2019,249,6257,27.68,131.64,598,293,2007,2019,13,Balanced Player
25,KL Rahul,2013-2025,181,6224,43.52,135.89,534,249,2013,2025,13,Balanced Player
26,C Munro,2011-2025,220,6113,32.17,134.97,533,278,2011,2025,15,Balanced Player
27,AD Hales,2012-2025,210,6061,31.4,145.24,634,268,2012,2025,14,Balanced Player
28,AJ Finch,2010-2024,219,6057,30.9,129.61,565,225,2010,2024,15,Balanced Player
29,ADS Fletcher,2009-2025,224,6040,30.5,126.81,531,283,2009,2025,17,Balanced Player
30,AT Rayudu,2007-2023,290,6036,26.59,125.09,495,229,2007,2023,17,Balanced Player
31,DR Smith,2007-2019,234,6003,28.31,126.56,605,278,2007,2019,13,Balanced Player
32,G Gambhir,2007-2018,235,5994,28.95,120.6,699,86,2007,2018,12,Balanced Player
33,DA Miller,2012-2025,286,5864,34.09,135.55,428,254,2012,2025,14,Balanced Player
34,LMP Simmons,2009-2022,203,5728,30.63,119.85,542,245,2009,2022,14,Balanced Player
35,MP Stoinis,2012-2025,264,5688,30.09,137.22,471,252,2012,2025,14,Balanced Player
36,SS Iyer,2014-2025,189,5474,34.86,136.71,458,242,2014,2025,12,Balanced Player
37,RR Rossouw,2009-2025,231,5462,29.05,144.95,515,249,2009,2025,17,Balanced Player
38,J Charles,2012-2025,204,5414,28.95,134.07,509,268,2012,2025,14,Balanced Player
39,SE Marsh,2008-2024,153,5371,40.08,130.04,532,168,2008,2024,17,Balanced Player
40,Shakib Al Hasan,2007-2025,319,5308,22.11,127.47,474,170,2007,2025,19,Balanced Player
41,Tamim Iqbal,2007-2025,173,5270,34.9,120.92,559,158,2007,2025,19,Balanced Player
42,Babar Azam,2016-2025,146,5241,41.59,124.01,558,86,2016,2025,10,Balanced Player
43,MA Agarwal,2010-2025,215,5012,25.7,134.33,507,176,2010,2025,16,Balanced Player
