id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
0,DJ Bravo,2007-2024,433,496,8.42,16.9,2007,2024,18
1,SP Narine,2011-2025,431,457,6.13,21.7,2011,2025,15
2,Rashid Khan,2016-2025,326,416,6.61,18.1,2016,2025,10
3,AD Russell,2012-2025,415,386,8.83,16.5,2012,2025,14
4,Shakib Al Hasan,2007-2025,319,336,6.9,19.3,2007,2025,19
5,PP Chawla,2007-2024,293,316,7.56,19.3,2007,2024,18
6,Imran Tahir,2013-2025,230,315,6.93,15.9,2013,2025,13
7,YS Chahal,2009-2025,250,290,7.53,18.2,2009,2025,17
8,A Mishra,2007-2024,253,277,7.19,18.6,2007,2024,18
9,R Ashwin,2007-2025,291,275,7.12,22.6,2007,2025,19
10,SL Malinga,2007-2019,195,263,7.11,16.6,2007,2019,13
11,JJ Bumrah,2013-2025,193,250,6.95,17.6,2013,2025,13
12,Mohammad Amir,2009-2025,205,247,7.18,18.1,2009,2025,17
13,B Kumar,2009-2025,233,242,7.43,21.0,2009,2025,17
14,JD Unadkat,2010-2025,199,237,8.01,17.8,2010,2025,16
15,TA Boult,2014-2025,187,229,7.95,18.3,2014,2025,12
16,HV Patel,2011-2025,186,229,8.34,16.5,2011,2025,15
17,A Zampa,2012-2025,181,223,7.38,17.5,2012,2025,14
18,Harbhajan Singh,2007-2021,251,222,6.86,23.1,2007,2021,15
19,Sandeep Sharma,2013-2025,203,222,7.68,20.0,2013,2025,13
20,Mustafizur Rahman,2015-2025,179,214,7.6,18.4,2015,2025,11
21,AJ Tye,2014-2025,153,209,8.19,15.7,2014,2025,12
22,Wahab Riaz,2014-2023,164,209,7.75,17.1,2014,2023,10
23,RA Jadeja,2007-2025,303,204,7.72,24.0,2007,2025,19
24,JO Holder,2013-2025,203,200,8.28,20.5,2013,2025,13
25,Mohammed Shami,2010-2025,165,200,8.22,17.8,2010,2025,16
26,KA Pollard,2009-2025,512,200,8.56,19.9,2009,2025,17
27,Mohammad Nabi,2010-2025,240,198,6.9,21.6,2010,2025,16
28,Imad Wasim,2016-2025,229,197,6.66,23.2,2016,2025,10
29,Sohail Tanvir,2007-2022,187,197,7.17,20.1,2007,2022,16
30,UT Yadav,2009-2024,185,190,8.3,20.0,2009,2024,16
31,Shadab Khan,2017-2025,158,189,7.27,17.5,2017,2025,9
32,AR Patel,2013-2025,227,184,7.05,25.3,2013,2025,13
33,R Vinay Kumar,2007-2019,170,181,7.86,19.2,2007,2019,13
34,Haris Rauf,2018-2025,139,180,8.51,16.9,2018,2025,8
35,SR Watson,2007-2020,297,180,8.04,21.1,2007,2020,14
36,K Rabada,2016-2025,134,179,8.35,16.4,2016,2025,10
37,S Kaul,2012-2023,142,178,7.65,17.2,2012,2023,12
38,SA Abbott,2011-2025,128,177,8.52,14.5,2011,2025,15
39,Shahid Afridi,2007-2022,166,176,6.96,19.7,2007,2022,16
40,NLTC Perera,2009-2025,249,175,8.63,19.3,2009,2025,17
41,SN Thakur,2015-2025,160,175,9.04,18.5,2015,2025,11
42,JP Behrendorff,2012-2025,138,174,7.45,17.1,2012,2025,14
43,KK Cooper,2011-2018,140,172,7.4,16.7,2011,2018,8
44,JP Faulkner,2011-2022,153,172,8.14,17.8,2011,2022,12
45,Fawad Ahmed,2013-2023,166,169,6.99,21.2,2013,2023,11
46,CJ Jordan,2014-2025,159,169,8.84,19.0,2014,2025,12
47,DW Steyn,2008-2021,156,167,6.94,20.7,2008,2021,14
48,Hasan Ali,2016-2025,122,164,8.04,16.9,2016,2025,10
49,Mohammed Siraj,2016-2025,144,164,8.34,18.8,2016,2025,10
50,Mujeeb Ur Rahman,2017-2025,153,164,6.64,21.5,2017,2025,9
51,MM Sharma,2013-2025,168,164,8.52,20.1,2013,2025,13
52,PW Hasaranga,2017-2025,111,163,7.08,14.7,2017,2025,9
53,KW Richardson,2011-2025,135,163,7.96,17.6,2011,2025,15
54,KV Sharma,2007-2025,184,161,7.72,20.2,2007,2025,19
